1,abaca.png,Abaca,Abaka,"Abaca is a natural leaf fiber that comes from a relative of the banana tree family native to the Philippines that grows throughout tropical regions. It is also called Manilla hemp, though it is not related to actual hemp. Abaca is generally considered to be a sustainable, environmentally friendly fiber that can empower communities.","The plant grows to 13–22 feet (4.0–6.7 m), and averages about 12 feet (3.7 m). ",It is recommended that planting be done using the square method with a distance of 2.5 meters by 2.5 meters or 1.5 meters by 1.5 meters for varieties that are poor producers of suckers.,It is advisable to water plants once or twice a month during summer.,"2,3,5"
30,squash.png,Squash,Kalabasa,"Squash, also known as kalabasa in the Philippines, is a versatile vegetable used in various Filipino dishes such as ginataang kalabasa (squash cooked in coconut milk) and pinakbet. The orange-fleshed vegetable is sweet and nutty, offering a creamy texture when cooked. Rich in vitamins A and C, beta-carotene, and dietary fiber, squash is known to promote healthy skin, improve vision, and boost the immune system. It can be roasted, boiled, or mashed, and its seeds are also edible, often roasted as a healthy snack.",Summer squash (bush types) are commonly seeded at 4-6 pounds of seed per acre and sown ¾ to 1½ inches deep (depending on seed size). Winter squash and pumpkins are seeded at 2-4 pounds of seed per acre at a depth of ¾ to 1½ inches.,Summer squash are often planted 24-30 inches apart while winter squash are planted 30-48 inches apart. Pumpkin spacing in row is commonly 36-60 inches apart depending on vining habit and expected fruit size. Typical row spacings vary from 3 to 10 feet apart.,"Watering squash plants is very important, especially once tiny squash fruits form. Make sure plants get at least 1 inch of water per week from rainfall or from you. Water early in the morning, and avoid overhead watering. Keep leaves as dry as possible to help prevent garden fungal diseases.","2,5"
31,kale.png,Kale,Kale,"Kale is a nutrient-dense leafy green vegetable known for its high levels of vitamins A, C, and K, as well as calcium, iron, and antioxidants. Part of the cruciferous family, kale is praised for its health benefits, including anti-inflammatory properties, heart health support, and cancer-fighting compounds. It can be eaten raw in salads, sautéed, blended into smoothies, or baked into crispy kale chips. The earthy, slightly bitter flavor of kale makes it a versatile ingredient in both raw and cooked dishes. Its sturdy leaves hold up well to cooking, making it a favorite in soups and stews.",Plant seeds ¼-½ inch deep. Thin seedlings or transplant kale 12-18 inches apart in the row with rows 2 feet apart. Plant out 4-5 weeks before the last frost. Kale tastes best when plants grow rapidly and mature before the heat of summer or after fall frosts occur.,"Space kale 18 to 24 inches apart in an area with full sun and well-drained, fertile soil with a pH of 6.5 to 6.8. Improve native soil by mixing in several inches of aged compost or other rich organic matter.","Kale prefers fertile, well-drained soil rich in organic matter. Water kale deeply and infrequently while trying to maintain even soil moisture. About one to two inches of water are required per week. Use drip irrigation if possible to conserve water.",2
32,kamansi.png,Breadnut,Kamansi,"The fruit is a syncarp, with its rind covered with fleshly prickles or spines. It has a fibrous core with 50 to 100 nut-like seeds embedded in a white, flaky and spongy-like pulp. The fruit is highly perishable with a shelf life of not more than two days under ambient conditions.","The bag selected should have adequate root room to accommodate the root system of the breadnut seedling which grows very rapidly. The bag should be at least 30 cm and preferably 35 cm in depth, while the diameter should not exceed 15 cm (Plate 2).","Plants are spaced 12 to 15 m apart. Trees begin producing at eight to ten years of age. The tree is fast growing in favourable conditions, growing 0.5 to 1.5 m in height for the first ten to 12 years.","In terms of watering habits, breadnut should be watered once every 2-3 weeks, maintaining soil moisture without overwatering. As an evergreen plant commonly grown outdoors, breadnut thrives when its watering schedule aligns with the natural rainfall patterns of its native climate zones.","2,3,5"
33,kamatis.png,Tomato,Kamatis,"Tomato, or kamatis, is a widely used vegetable in Filipino cuisine, providing a rich source of lycopene, vitamins C and K, and potassium. Known for its sweet-tangy flavor, tomatoes are used in various dishes such as sinigang, menudo, and pinakbet, either as a base ingredient or garnish. Tomatoes are often eaten raw in salads, used in sauces, or cooked into soups and stews. They are renowned for their health benefits, particularly in promoting heart health and reducing the risk of certain cancers due to their high antioxidant content.","Right before planting, till the soil to a depth of 12 to 18 inches (30 to 45 cm) to encourage a more robust root system. One more step before you can plant tomatoes is soil solarization, which is especially important in growing regions with cold soil during the planting season.",Space rows of most tomato plants 4 feet apart. Generous spacing between rows makes for easy harvesting and good airflow between plants. Plant indeterminate tomato varieties that are not caged in rows at least 6 feet apart so you still have room to walk between them toward the end of the season.,"Water correctly: Do not overwater. The first week tomato plants are in the ground, they need water every day, but back off watering after the first week, slowly weaning the plants down to 1 to 1.5 inches of water per week.","3,5"
34,kamote.png,Sweet Potato,Kamote,"Sweet potato, known locally as kamote, is a root vegetable commonly grown and consumed in the Philippines. Its orange or purple flesh is naturally sweet and becomes even more flavorful when roasted, boiled, or fried. Sweet potatoes are a rich source of fiber, vitamins A and C, and potassium. They are often used in traditional dishes like kamote cue (caramelized fried sweet potatoes), ginataang kamote (sweet potato in coconut milk), or simply boiled as a healthy snack. Sweet potatoes are known to support digestion, eye health, and immune function.",Depth of planting is 10-15 cm in moist soil and 15-20 cm in a little bit dry soil. Bury about ½ of the cutting into the soil when there is enough soil moisture and 2/3 when the soil is a bit dry. Planting may be done in a letter “L” or letter “U” position.,"Plant sweet potatoes about 12 to 18 inches apart, and allow 3 feet between rows so the vines will have plenty of room to run. When setting out sweet potatoes in very hot, sunny weather, cover the plants with upturned flower pots for 3 days after planting to shield them from baking sun.","Sweet potatoes prefer consistent moisture, and a regular watering routine helps prevent drought stress. Water Deeply: Provide deep watering rather than frequent shallow watering. This encourages the development of deep and robust root systems, making the plants more resilient.","3,5"
35,cassava.png,Cassava,Kamoteng Kahoy,"Cassava, also known as yuca or kamoteng kahoy, is a starchy root vegetable native to South America. It is a major source of carbohydrates in tropical regions and is commonly used to make tapioca, flour, or traditional dishes like cassava cake. While cassava is a rich source of energy, it must be prepared carefully, as it contains naturally occurring cyanogenic glycosides that can be toxic if eaten raw or improperly processed. Once cooked, it is safe to eat and is valued for its versatility, often boiled, fried, or baked into various dishes. Cassava is gluten-free and provides important nutrients like vitamin C and manganese.","For effective propagation, good-quality stakes are obtained from mature plants with 9-12 months growth and are planted vertically, approximately 10 cm in depth below the soil surface and 100 x 100 cm for plant spacing. Less spacing (80 x 100 cm or 80 x 80 cm) is recommended for infertile sandy soil  whereas larger spacing (100 x 120 cm or 120 x 120 cm) is applied in fertile soil.","Non-branching cassava plants require 0.75 m x 0.75 m per square metre. Overall, this gives 10,000 plants per hectare. The planting density that is required for the multiplication of stems and not for the production of roots, 0.5m x 0.5m, can be used.","How often to water your Cassava. Cassava needs 0.8 cups of water every 9 days when it doesn't get direct sunlight and is potted in a 5.0"" pot. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.","3,5"
36,kangkong.png,Water Spinach,Kangkong,"Water spinach, or kangkong, is a leafy green vegetable commonly used in Filipino dishes such as adobong kangkong and sinigang. It thrives in aquatic environments and is known for its long, hollow stems and tender leaves. Water spinach is rich in vitamins A and C, iron, and calcium, supporting healthy vision, immunity, and bone health. It has a mild flavor and is often sautéed or boiled, making it a popular ingredient in soups, stir-fries, and side dishes. Water spinach is widely grown in the Philippines and is easily accessible in markets across the country.","It can be submerged in your pond to a shallow depth of around 2cm. In terms of soil, kangkong water spinach prefers nutrient-rich, loamy soil. It can grow in both submerged and well-drained soil, making it a flexible choice for different growing conditions.","Growers plant in beds with 6 – 10 seeds per foot in rows that are 6 – 8 inches wide. Plant stems are not strong, but plants grown in beds support each other and produce longer stems with less branching, which is what the market prefers. Water spinach needs much more water than most other vegetable crops.",Water Water spinach twice per week to keep it thriving. Water spinach prefers moist soil but should not be waterlogged. Using rainwater or distilled water is ideal as it ensures that no harmful chemicals are affecting the plant. Water spinach appreciates a location that is abundantly illuminated for most of the day.,3
37,kape.png,Coffee,Kape,"Coffee is one of the most popular beverages in the world, made from roasted coffee beans, which are the seeds of berries from the Coffea plant. In the Philippines, kapeng barako, a type of Liberica coffee, is known for its strong, bold flavor. Coffee contains caffeine, a natural stimulant that helps improve focus, energy levels, and mental alertness. It also contains antioxidants, which can help protect against inflammation and oxidative stress. Coffee is enjoyed in various forms, from brewed black coffee to espresso, lattes, and iced drinks, making it a staple in many cultures and daily routines.","Dig deep as 40 cm (1.3 ft). The mouth of the hole should have a 30 to 40-cm (1-1.3 ft) width. If the previously taken soil sample shows low fertility or if your substrate is sandy or muddy, then it is advisable to go as deep as 50 to 60 cm (1.6-2 ft).","Coffee is planted in rows 2 m apart with plants 1.5 m apart within the row. To mark the planting holes at this spacing on sloping land, follow the steps below.","every 1 to 2 weeks, Coffee plants don't like to stay wet, so water every 1 to 2 weeks, allowing the potting mix to dry out halfway between waterings. You'll need to water more often in brighter light and less often in lower light, says Marino. But always poke your finger into the soil to check the moisture level before giving it a drink.","3,5"
38,karamay.png,Star gooseberry,Karamay,"Bangkiling resembles green grapes with a taste and texture similar to kamias. It is used as a souring agent for dishes. Moreover, it can be sweetened (minatamis na bangkiling) or pickled. In the Ilocos region, they mix bangkiling with sukang llocos to make inartem.","One inch to 1.5 inches is the ideal planting depth where tillage is used. Where tillage is used, the soil should be free of large clods to insure good seed-soil contact and good seed coverage.","For optimal health, star gooseberry should be watered once every 1-2 weeks, allowing the soil to dry slightly between watering sessions. Cultivated primarily outdoors, star gooseberry is particularly sensitive to overwatering during its dormancy time, which can lead to root rot if not monitored closely.","For optimal health, star gooseberry should be watered once every 1-2 weeks, allowing the soil to dry slightly between watering sessions. Cultivated primarily outdoors, star gooseberry is particularly sensitive to overwatering during its dormancy time, which can lead to root rot if not monitored closely.","2,3,6"
39,carrot.png,Carrot,Karot,"Carrots are root vegetables known for their vibrant orange color, although they can also be found in purple, yellow, red, and white varieties. Rich in beta-carotene, which the body converts into vitamin A, carrots are essential for maintaining healthy vision, skin, and immune function. They are also a good source of fiber, antioxidants, and potassium. Carrots can be eaten raw as a snack or in salads, or cooked in soups, stews, and stir-fries. Their natural sweetness intensifies when roasted, making them a versatile ingredient in both savory and sweet dishes.",Plant seeds ¼-½ inch deep. Thin seedling carrots to 3 inches apart in the row with rows 12-18 inches apart. Plant 2-3 weeks before the last frost. Carrots taste best when plants grow rapidly and mature before the heat of summer.,Seeded carrots should be spaced 2-3 inches between plants in the row with rows 12-18 inches apart. Dense plantings will reduce weed pressure. Planting radishes with carrots helps minimize the crusting problem and identifies where the planted rows are. Some gardeners sow seeds in wide beds rather than rows.,"Carrots need about an inch of water per week when young, but as the roots mature, increase water to 2 inches per week. The best way to know if you need to water is to stick your finger in the soil about an inch deep near the plants (but don't disturb the developing roots).","3,4,5"
40,kundol.png,Wax gourd,Kundol,The wax gourd is an annual plant that grows as a trailing vine. Its solitary yellow flowers are 8 to 10 cm (3 to 4 inches) wide and are unisexual. The hairy leaves are heart-shaped at the base and are typically palmately lobed.,Prepare the soil for the melon planting about 2 weeks before the average last spring frost date in your area. Use compost and fertilizer. Form six to eight inch high raised beds to speed soil warming and have good drainage. Plant the seeds ½ to one inch deep.,"Plant seeds in widely spaced hills or rows. Thin seedlings to 1.2–2.0 m (3.5-6 ft) apart in the row. Wax Gourds will grow in a variety of soil types. Although Wax Gourds are drought-tolerant, irrigation may be required during low rainfall periods if the soil is coarse-textured.","Wax gourds thrive best when watered deeply but infrequently. Aim to provide the plant with 1-2 inches of water per week, distributing the water evenly around the base of the gourd's plant. Depending on sunny and moist weather, it may be beneficial to water slightly more or less.","2,3,5"
41,labanos.png,Radish,Labanos,"Radish, or labanos, is a crunchy root vegetable that has a sharp, peppery taste. It is commonly used in Filipino dishes like sinigang to add a subtle spiciness and crunchy texture to the soup. Radishes are low in calories and high in vitamin C, potassium, and fiber, making them a healthy addition to salads, stir-fries, and soups. The leaves of the radish plant are also edible and can be used in sautéed dishes. Radishes are known for their cooling properties and are sometimes used to aid digestion.","Plant the seed of smaller varieties shallowly, one-fourth to one-half inch deep. Plant larger varieties deeper, up to one inch deep. Seedlings will emerge within ten days. Heavy rains or excessive irrigation can cause soil crusting, which may weaken seedling emergence.","Radishes should be thinned to 1-2 inches between plants in the row with rows 10-12 inches apart. High summer temperatures trigger flower stalk development in many varieties. Hot weather also causes bitterness, increases “hot” flavors and causes root hollowness. Cooler conditions improve root flavor and quality.","Make sure they receive enough rainfall or deep watering. Drought stress can cause the roots to develop poor flavor and a tough texture. If the planting does not get one inch of rain each week, soak the soil thoroughly at least once a week. If your soil is sandy, it is important to water more often than once a week.","2,4"
42,langka.png,Jackfruit,Langka,"Jackfruit, or langka, is the largest tree-borne fruit, known for its spiky green exterior and sweet, fibrous flesh. It is rich in vitamins C, B6, and potassium and is highly versatile in both sweet and savory dishes. In the Philippines, jackfruit is used in a variety of ways, from the sweet langka filling in turon and halo-halo, to the unripe fruit being cooked as a vegetable in savory dishes like ginataang langka. Jackfruit seeds are also edible when boiled or roasted. Due to its texture, jackfruit has become a popular meat substitute in vegetarian and vegan cooking.","Plant the nursery sapling in a hole two feet deep by two feet wide. Mound up the soil around the stem. Jackfruit trees must be spaced at least 20 to 30 feet from other plants, structures, or power lines.","If little or no pruning is planned, then jackfruit in the home landscape should be planted 25 to 30 feet (7.6–9.1 m) away from other trees and structures. If annual or semi-annual pruning is practiced jackfruit trees may be planted 20 to 25 feet (6.1–7.6 m) away from other trees and structures.","How often to water your Jackfruit. Jackfruit needs 0.8 cups of water every 9 days when it doesn't get direct sunlight and is potted in a 5.0"" pot. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.","3,5"
43,lanzones.png,Lanzones,Lanzones,"Lanzones is a small, round tropical fruit with a thin, leathery skin and translucent flesh. The taste of lanzones can range from sweet to slightly sour, depending on its ripeness. In the Philippines, lanzones is highly valued and is often eaten fresh during its peak season. The fruit is rich in vitamins A, B, and C, as well as dietary fiber, which promotes healthy digestion. Lanzones is also known for its antioxidant properties and its ability to boost the immune system. The fruit is popular during festivals, such as the Lanzones Festival in Camiguin.","Plant the seeds in sandy loam, 3-5 cm (1-2 inches) apart. Dig small holes about 1 cm (.4 inch) deep, put the seeds in the holes and cover the seeds with soil.",Lanzone trees will not grow in clay or alkaline soils. Dig holes 25 to 33 ft (8 to 10 m) apart from one another.,Spray the tree and fruits with water to moisten the skin of the fruits. Water the base of the trunk also when the fruits are about to mature and ripen during a dry spell.,"2,3,5"
44,lettuce.png,Lettuce,Letsugas,"Lettuce is a leafy vegetable that is a staple in salads and sandwiches, known for its crisp texture and mild flavor. There are several varieties of lettuce, including iceberg, romaine, and leaf lettuce, each with its own unique taste and texture. Lettuce is low in calories but high in fiber, vitamins A and K, and antioxidants, making it a healthy choice for weight management and heart health. In the Philippines, lettuce is often used in fresh vegetable wraps or as a garnish. It is a key ingredient in many types of salads and is enjoyed for its refreshing crunch.","Lettuce should be seeded at a depth of 0.6 cm or less. Space rows 30 cm or more apart as determined by machinery. Plants should be spaced 25 to 36 cm apart for head lettuce, and 20 to 30 cm apart for leaf and bib lettuce. Seed sparsely to reduce thinning.","Space your rows 12 to 18 inches apart. Thin leaf lettuce seedlings to 4 inches apart. Romaine and butterhead lettuce seedlings require 6 to 8 inches between each plant. Removed seedlings can be transplanted or eaten as delicious, tender microgreens.","When watering your lettuce, keep it light and consistent. For the first two weeks after planting your lettuce, you should water it lightly daily. After the first two weeks, you can start watering your lettuce less – twice a week or every four to five days depending on the temperature and shade level.","2,4,5"
45,linga.png,Sesame,Linga,"Sesame is an erect annual herb that grows 60–150 cm tall. The stem is hollow or has a white pith. The sesame leaves are 3–10 cm long, 2.5–4 cm wide, and rectangular or ovate in shape with a slightly hairy surface.",Place the seed 1/2 inch to 3/4 inch below the defined moisture line with a 1/4 inch to 3/4 dry covering of dry soil above that line. The total seeding depth would be from 3/4 inch to 1.5 inches.,"For optimum seed yield, sesame should be planted between third and fourth week of July while the best plant spacing recommended is 30 cm x 10 cm.","Sesame is a drought-tolerant crop that only requires one heavy irrigation prior to establishment, with fast and light irrigation after establishment when needed","3,5"
46,collard.png,Collard Green,Lunti,"Collard greens are leafy vegetables that belong to the same family as broccoli, cabbage, and kale. They have large, dark green leaves with a slightly bitter taste. Packed with fiber, vitamins A, C, and K, and calcium, collard greens are incredibly nutritious and commonly used in Southern U.S. cuisine, often slow-cooked with smoked meats. In Filipino cuisine, they are similar to pechay. These greens are known for their ability to support bone health, aid in digestion, and offer cancer-fighting antioxidants. They can be eaten raw in salads, sautéed, or added to stews and soups.",Collards need a deep soil that is well drained and well prepared. The roots of a collard plant easily reach depths of 2 feet of more. Dig the soil as deep as possible or at least 10 inches. This will loosen the soil so the small feeder roots can grow more easily.,"If the plants will be cut when half grown, space them 10 to 15 inches apart. If they will be harvested when full grown, space them 15 to 18 inches apart. If young collard plants will be harvested, similar to mustard greens, space the plants 2 to 4 inches apart. Space rows 36 to 42 inches apart for conventional systems.","Collard greens need moist soil—around two inches of water per week. Watering your collards evenly and consistently will ensure a healthy crop. If your soil gets dry too quickly, mulch around the plants to retain moisture.",5
47,luya.png,Ginger,Luya,"Ginger is a spice derived from the rhizome of the ginger plant. Known for its spicy, aromatic flavor, ginger is widely used in cooking, particularly in Asian and Indian cuisines. In the Philippines, ginger is a staple ingredient in dishes like tinola and salabat (ginger tea). It has numerous health benefits, including aiding digestion, reducing nausea, and fighting inflammation. Ginger contains bioactive compounds like gingerol, which are believed to have powerful anti-inflammatory and antioxidant effects. It can be used fresh, dried, powdered, or as juice and oil.","Plant in spring, when the soil has warmed up, 5-10 cm deep. Ginger is often planted on ridges, usually about 30 cm apart and with 15-23 cm between plants. The crop is planted by setts (small rhizomes) with one or two buds. Approximately 840 -1700 kg of setts are required to plant one hectare.","Ginger is most often grown in double rows, spaced 12 inches (30 cm) apart, with open working space between the double rows.","Water your ginger directly after you plant it. Continue to keep your soil moist but not saturated, watering it until just before the soil dries out. In the late summer or fall, the stems of the ginger plant will start to die. When the stems die, stop watering the plant completely.",3
48,corn.png,Corn,Mais,"Corn, known as mais, is a staple crop used as a vegetable and grain. It comes in different varieties, including sweet corn, which is commonly boiled or grilled, and field corn, which is processed into cornmeal, flour, or animal feed. Corn is rich in carbohydrates and fiber, making it a good energy source. It also contains essential nutrients like vitamins B and C, magnesium, and antioxidants like lutein, which is beneficial for eye health. Corn can be enjoyed in many forms, from corn on the cob to popcorn and corn syrup.","The most common seeding depths recommended for corn range between 1.5 and 2 inches deep, and these planting depths can work very well within most conditions, however, certain soil moisture conditions at planting may warrant further examination/change in seeding depth.",Space the seeds 8 to 12 inches apart in rows 2½ to 3 feet apart. Sweet corn may also be planted in “hills.” Sow 4 to 5 seeds per hill with approximately 3 inches between seeds. Hills should be spaced 2½ feet apart with 2½ to 3 feet between rows.,"Aim for 1 inch of water per week, and supplement natural rainfall with irrigation as needed. To get a continuous supply of corn throughout the summer, plant a small amount of the same variety every 7-10 days or simultaneously plant varieties with different dates to maturity.","2,3,4,5"
49,malunggay.png,Moringa,Malunggay,"Moringa, or malunggay, is a plant known for its highly nutritious leaves, pods, and flowers. Often referred to as a ""miracle tree,"" moringa is rich in vitamins A, C, and E, calcium, and iron. Its leaves are often used in Filipino dishes like tinola and monggo, where they add a nutritious boost to soups and stews. Moringa is also known for its medicinal properties, including its ability to lower blood sugar levels, reduce inflammation, and improve digestive health. The plant is used widely in traditional medicine and is also available in powdered or capsule form.","Moringa is grown from seeds or from cuttings. Plant seeds 2 cm (1 in) deep; keep the soil moist after planting. Sprouting occurs normally in 1-2 weeks or in as quickly as 3-4 days in organically rich seedbeds. Seedlings grow rapidly, reaching 3-5 m (9-15 ft) in one growing season.","ncreasing the spacing (75 cm x 100 cm) is recommended when moringa is sown on larger areas, thereby reducing the number of seeds required when cost is an important factor.","Keep the soil of moringa plants consistently moist but not wet. Moringa are sensitive to overwatering. Established moringa plants are drought-tolerant, but young plants need more consistent moisture to encourage vigorous growth. Infrequent, deep watering is better than frequent, light watering. Water once or twice a week, depending on the climate you live in.","3,5"
50,mango.png,Mango,Mangga,"Mango, or mangga, is one of the most beloved tropical fruits in the Philippines, known for its juicy, sweet, and slightly tart flavor. Philippine mangoes, particularly the Carabao variety, are famous worldwide for their exceptional sweetness. Rich in vitamins C and A, as well as dietary fiber, mangoes offer health benefits such as boosting the immune system, improving digestion, and promoting skin health. Mango is eaten fresh, as dried fruit, or used in various desserts like mango float and mango sago. It is also used in savory dishes like salads and chutneys.",The trees are long - lived with some still producing fruit at 300 years old. The tree is anchored by a long unbranched taproot can descend to a depth of 6-8 m plus a mass of feeder roots. The feeder roots send down anchor roots which penetrate the soil to a depth of 1.2 m and spread lateral as far as 7.5 m.,"Spacing varies from 10 m x 10 m, in the dry zones where growth is less, to 12 m x 12 m, in heavy rainfall areas and rich soils where abundant vegetative growth occurs.","During the first year when the plants are very young with shallow root system, they should be watered even at 2-3 days interval in the dry season. Trees in the age group of 2-5 years should be irrigated at 4-5 days interval.","3,5"
51,mangosteen.png,Mangosteen,Mangosteen,"Mangosteen, often referred to as the ""Queen of Fruits,"" is a tropical fruit with a thick purple rind and juicy, white flesh. The flavor of mangosteen is a perfect balance of sweet and tangy, often described as a cross between a peach and pineapple. It is rich in vitamin C, fiber, and powerful antioxidants known as xanthones, which are believed to have anti-inflammatory and anti-cancer properties. In the Philippines, mangosteen is typically eaten fresh, though it can also be used in juices and jams. Mangosteen has a long history in traditional medicine for treating various ailments.","This consists of deep plowing once or twice, followed by several harrowing, until the desired soil tilth is attained. Stakes are set at a distance of 8-10 m corresponding to the recommended distance of planting for mangosteen. Holes are then dug at the positions occupied by the stakes where mangosteen seedlings are set and covered with soil.","Spacing of trees is between 8-10 metres, they are slow growing, and can take up to 8 years to fruit. They require protection from the south-easterly dry season winds in the Top End, and benefit from a micro climate where irrigation can be misted on them over the top of their canopy.","Water the plants as soon as they are transplanted and sustain during the times when precipitation is not adequate in order to keep the soil moisture at a high level. In the seedling stage, however, standing water over the roots can kill the plant outright. Mangosteen trees respond well to manuring.","2,3,5"
52,mani.png,Peanut,Mani,"The peanut is an annual herbaceous plant growing 30 to 50 cm (12 to 20 in) tall. As a legume, it belongs to the botanical family Fabaceae, also known as Leguminosae, and commonly known as the legume, bean, or pea family. Like most other legumes, peanuts harbor symbiotic nitrogen-fixing bacteria in their root nodules.",The ideal time for planting peanuts is the first week of May when the soil is warm and moist. Germination is best between 68 and 95 °F. Plant seeds 2 to 3 inches deep in light textured sandy soils and 1½ to 2 inches deep in clay soils.,Grain yield was greatest for inter-row spacing of 30 cm and low- est for 75 cm compared to intermediate spacings of 45 and 60 cm (P = 0.033) but the grain yield between 45 cm and 60 cm plant spacing was not significant (P = 0.545).,"After planting, the plant's most critical need for water is from 40 to 110 days after planting, although this may shift slightly based on the maturity of the variety planted. During this time, peanuts require one and one-half to two inches of water a week.","5,3"
53,marang.png,Marang,Marang,"Marang is a tropical fruit related to jackfruit and breadfruit, with a spiky outer shell and soft, creamy flesh inside. It is native to the Philippines and other parts of Southeast Asia. The flavor of marang is sweet and fragrant, often compared to a combination of banana, pineapple, and jackfruit. It is high in carbohydrates and provides a good source of dietary fiber, potassium, and vitamin C. Marang is typically eaten fresh by removing the seeds and enjoying the flesh, though it is also sometimes used in desserts and sweet dishes.","Plant the seed immediately. Although marang fruit seeds have an excellent propagation rate, they do not remain viable outside the fruit for long. Place the seed in a hole roughly twice the length of the seed, about 1 inch deep and cover with soil.",Plants are spaced 12-14 m apart. Root cuttings. Air layering. Plants can be grafted.," Mist your marang seedling once or twice a week to add moisture to the air. As a tropical tree, marang fruit trees thrive in high humidity.","2,3"
54,sweet-corn.png,Sweet Corn,Matamis na Mais,"Sweet corn is a popular vegetable and snack. It is enjoyed grilled, boiled, or as part of savory dishes such as corn soup or cornbread. Sweet corn kernels are tender and juicy, with a mild, sweet flavor that pairs well with various ingredients. The vegetable is rich in fiber, vitamins B and C, and antioxidants, promoting healthy digestion and supporting eye health. Sweet corn is often sold in markets and street stalls, eaten as a snack or added to meals for its sweet, crisp bite.","The ideal planting depth for sweetcorn ranges between 3 cm and 5 cm. Planting at a shallower depth than 3 cm increases the risk of poor root development and seeds drying out due to a lack of moisture. Planting any deeper than 5 cm increases the risk of slower and uneven emergence, leading to a poor plant population.","Rows should be spaced 2½ - 3 feet apart. Plants should be spaced 8-10 inches apart between plants. For early plantings, seeds should be no deeper than 1 inch. For later plantings, plant seeds 1-2 inches deep to ensure adequate moisture contact.","Sweet corn needs ample water from germination to harvest, but the most critical period for water is about 2 weeks before silks form. Aim for 1 inch of water per week, and supplement natural rainfall with irrigation as needed.","1,3,6"
55,melon.png,Melon,Melon,"Melon, or milong in Filipino, refers to the muskmelon or cantaloupe, a refreshing, sweet fruit that is commonly enjoyed during the hot summer months. The orange flesh of the melon is juicy and packed with vitamins A and C, as well as antioxidants and fiber. Melon is often eaten fresh or used in fruit salads, smoothies, and desserts. In the Philippines, it is also popular to shred melon and mix it with cold water and sugar for a refreshing beverage called melon juice. Its hydrating properties and mild sweetness make it a favorite snack for cooling down.","Direct seeding is the primary method used for crop establishment. Seed melon approximately ½ inch to ¾ inch deep in rows 60 inches to 84 inches apart. Seeds should be spaced 6 inches to 8 inches apart in the row, then thinned to 12 inches apart.","Plant the seeds ½ to one inch deep. Sow 2 or 3 seeds in groups 18 to 24 inches apart. Space rows 5 to 6 feet apart. After the seedlings emerge, choose the strongest plant in each group and remove the others.","May suffer injury when exposed to a long period of drought. Apply irrigation water when necessary. Frequent light irrigation 5- 6 times during growing season is beneficial. During early stage of growth, irrigate sparingly since too much water tends to hinder root development.",5
56,monggo.png,Mung Beans,Monggo,"Mung beans, or monggo, are small green beans commonly used in Filipino cuisine, especially in hearty soups and stews like ginisang monggo. These beans are rich in protein, fiber, and essential vitamins and minerals, including potassium and magnesium. Mung beans are highly versatile and can be used in both savory dishes and sweet desserts like munggo hopia. They are also known for their health benefits, such as aiding digestion, supporting heart health, and stabilizing blood sugar levels. Sprouted mung beans are often used in salads and stir-fries for added texture and nutrition.","Seeds should be planted 4 cm deep in a well-prepared seedbed with good moisture content. If the surface layers are dry this depth can be increased to 7,5 cm if the soil type is one which does not crust easily. The seedlings of mung bean can have a hard time breaking through a thick crust and stands will be reduced.","Plant seed 1 inch deep and 2 inches apart when the soil is warmed to 65 degrees F. Allow 30 to 36 inches between rows. Fertilize with low nitrogen fertilizer, 51010, at the rate of 2 pounds per 100 square feet.","How often to water your Mung Beans. Mung Beans needs 0.8 cups of water every 9 days when it doesn't get direct sunlight and is potted in a 5.0"" pot. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.","3,5"
57,mustasa.png,Leaf Mustard,Mustasa,"Crispy mustard refers to the leaves of mustard plants, which are known for their peppery, slightly bitter flavor. Often used in Asian cuisine, these greens can be stir-fried, pickled, or added to soups and salads. Mustard greens are rich in vitamins A, C, and K, as well as antioxidants that support heart health and protect against inflammation. In the Philippines, mustard leaves are sometimes used in pickling brines or cooked as a side dish. They have a unique crisp texture when fresh, making them a healthy addition to meals.","Mustard is a small seeded crop making shallow seeding important for even emergence and crop establishment. It is recommended that mustard is seeded at a depth of 0.5 to 1 inch (1.5 to 2.5 cm) into a firm, moist seed bed. When moisture is limiting, mustard can be seeded as deep as 2 inches (5 cm) to reach soil moisture.","Space plants 12 to 18 inches apart in an area that gets plenty of sunlight and has fertile, well-drained soil with a pH of 6.5 to 6.8.",The optimal watering frequency for Field mustard is twice per week during the growing season. Watering Field mustard in the morning helps reduce the risk of fungal diseases. Adjust your watering schedule according to the season to maintain healthy Field mustard plants.,"2,3"
